external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,target_percent
Y-BUY-4906-2024-09-23-125-0,2024-09-23,martingale,黃標,TW,4906,正文,BUY,2080,40.00,4.16
Y-BUY-9958-2024-09-25-126-0,2024-09-25,martingale,黃標,TW,9958,世紀鋼,BUY,338,245.50,8.32
Y-BUY-4906-2024-09-25-127-0,2024-09-25,martingale,黃標,TW,4906,正文,BUY,2041,40.75,8.32
Y-SELL-1727-2024-10-09-128,2024-10-09,martingale,黃標,TW,1727,中華化,SELL,2383,37.90,0.00
Y-SELL-9958-2024-10-09-129,2024-10-09,martingale,黃標,TW,9958,世紀鋼,SELL,335,211.50,4.16
Y-BUY-3029-2024-11-06-130-0,2024-11-06,martingale,黃標,TW,3029,零壹,BUY,827,100.50,16.64
Y-SELL-8349-2024-11-06-131,2024-11-06,martingale,黃標,TW,8349,恒耀,SELL,2289,66.60,0.00
Y-BUY-4906-2024-11-07-132-0,2024-11-07,martingale,黃標,TW,4906,正文,BUY,2209,37.65,12.48
Y-SELL-4906-2024-11-11-133,2024-11-11,martingale,黃標,TW,4906,正文,SELL,6330,35.60,0.00
Y-BUY-5388-2024-11-11-134-0,2024-11-11,martingale,黃標,TW,5388,中磊,BUY,736,113.00,4.16
Y-BUY-5388-2024-12-03-135-0,2024-12-03,martingale,黃標,TW,5388,中磊,BUY,739,112.50,8.32
Y-BUY-6548-2024-12-03-136-0,2024-12-03,martingale,黃標,TW,6548,長科*,BUY,2363,35.20,12.48
Y-SELL-9958-2024-12-05-137,2024-12-05,martingale,黃標,TW,9958,世紀鋼,SELL,338,183.50,0.00
Y-BUY-4555-2024-12-05-138-0,2024-12-05,martingale,黃標,TW,4555,氣立,BUY,2209,37.65,4.16
Y-BUY-2359-2024-12-05-139-0,2024-12-05,martingale,黃標,TW,2359,所羅門,BUY,594,140.00,4.16
Y-SELL-3029-2024-12-12-140,2024-12-12,martingale,黃標,TW,3029,零壹,SELL,1274,169.50,12.48
Y-SELL-3029-2024-12-17-141,2024-12-17,martingale,黃標,TW,3029,零壹,SELL,1100,143.00,8.32
